Name,Planet_of_origin,warp_drive_vibration_index,hailing_transponder_freq,surface_reflect,ratio_long_to_short_axis,req_action
Grotz,Klingon,6.9,1006.4,Black,3.5,Hostile
Tlarr,Klingon,7,994.3,Black,2.3,Hostile
Tribok,Klingon,7.3,978.1,Dark_Gray,2.8,Hostile
Brogut,Klingon,7.1,1005.4,Dark_Gray,3,Hostile
Glorek,Klingon,7.1,1001.8,Light_Gray,1,Hostile
Lorif,Romulan,7.3,980.4,Dark_Blue,1.6,Alert
Rallev,Romulan,7.4,977.2,Dark_Green,1.8,Alert
Willosh,Romulan,7.3,947.9,Light_Gray,1.9,Alert
Loshar,Romulan,7.2,955.8,Light_Blue,2.1,Alert
Sarash,Romulan,7.4,960.7,Light_Gray,2.3,Alert
A2231,Antarean,6.7,1010.9,Pink,1.2,Friendly
E7763,Antarean,6.8,1033.2,Orange,1.2,Friendly
E9091,Antarean,6.5,1025.4,Light_Blue,1.1,Friendly
A0199,Antarean,6.8,1066.2,Yellow,1.3,Friendly
A1091,Antarean,6.7,1015,Light_Blue,1,Friendly
Daisy,Federation,6.7,1050,White,1.9,Friendly
Rosehip,Federation,6.8,1055,Light_Gray,2,Friendly
Gardenia,Federation,6.5,1045,White,2.1,Friendly
Herb,Federation,6.4,1065,Light_Gray,2.6,Friendly
Cinnamon,Federation,6.5,1055,Light_Gray,1.7,Friendly
